,time,price
0,2023-05-04 15:15:17.630544+00:00,162.56
1,2023-05-04 15:15:17.695618+00:00,162.56
2,2023-05-04 15:15:17.788727+00:00,162.56
3,2023-05-04 15:15:18.655228+00:00,162.54
4,2023-05-04 15:15:18.789878+00:00,162.54
5,2023-05-04 15:15:18.798322+00:00,162.54
6,2023-05-04 15:15:18.806603+00:00,162.54
7,2023-05-04 15:15:19.013163+00:00,162.54
8,2023-05-04 15:15:19.095024+00:00,162.54
9,2023-05-04 15:15:19.423067+00:00,162.54
10,2023-05-04 15:15:19.429554+00:00,162.55
11,2023-05-04 15:15:19.677477+00:00,162.55
12,2023-05-04 15:15:19.945919+00:00,162.52
13,2023-05-04 15:15:20.295177+00:00,162.52
14,2023-05-04 15:15:20.379883+00:00,162.52
15,2023-05-04 15:15:20.390173+00:00,162.5
16,2023-05-04 15:15:20.930011+00:00,162.5
17,2023-05-04 15:15:20.937736+00:00,162.48
18,2023-05-04 15:15:20.945196+00:00,162.48
19,2023-05-04 15:15:21.176946+00:00,162.48
20,2023-05-04 15:15:21.425468+00:00,162.48
21,2023-05-04 15:15:21.430618+00:00,162.48
22,2023-05-04 15:15:21.437482+00:00,162.48
23,2023-05-04 15:15:21.694625+00:00,162.48
24,2023-05-04 15:15:21.975603+00:00,162.48
25,2023-05-04 15:15:21.981206+00:00,162.5
26,2023-05-04 15:15:21.986854+00:00,162.5
27,2023-05-04 15:15:22.176524+00:00,162.5
28,2023-05-04 15:15:22.427515+00:00,162.5
29,2023-05-04 15:15:22.433468+00:00,162.5
30,2023-05-04 15:15:22.438598+00:00,162.46
31,2023-05-04 15:15:22.675982+00:00,162.46
32,2023-05-04 15:15:22.974729+00:00,162.46
33,2023-05-04 15:15:22.980290+00:00,162.47
34,2023-05-04 15:15:22.985443+00:00,162.47
35,2023-05-04 15:15:23.182868+00:00,162.47
36,2023-05-04 15:15:23.432782+00:00,162.47
37,2023-05-04 15:15:23.438745+00:00,162.47
38,2023-05-04 15:15:23.443730+00:00,162.49
39,2023-05-04 15:15:23.679974+00:00,162.49
40,2023-05-04 15:15:23.932971+00:00,162.49
41,2023-05-04 15:15:23.938789+00:00,162.48
42,2023-05-04 15:15:23.944509+00:00,162.48
43,2023-05-04 15:15:24.182148+00:00,162.48
44,2023-05-04 15:15:24.433828+00:00,162.48
45,2023-05-04 15:15:24.439822+00:00,162.48
46,2023-05-04 15:15:24.444440+00:00,162.52
47,2023-05-04 15:15:24.682183+00:00,162.52
48,2023-05-04 15:15:24.975853+00:00,162.52
49,2023-05-04 15:15:24.981803+00:00,162.52
50,2023-05-04 15:15:24.987448+00:00,162.54
